Latitude_y,Longitude_,richeness_sp,ID_coord_single,pland
"-25,601389","-54,429722",88,1,100
"-25,242778","-53,844444",100,2,100
"-22,396851","-52,67543",64,3,
"-22,541057","-52,642609",61,4,
"-22,542","-52,642",13,5,
"-22,367638","-52,62615",48,6,
"-32,538503","-52,53671",50,7,
"-22,279524","-52,517286",42,8,
"-22,598572","-52,504454",38,9,
"-22,417322","-52,49822",54,10,
"-22,418","-52,498",21,11,
"-22,489","-52,465",25,12,
"-22,49012","-52,4645",57,13,
"-22,286633","-52,460047",51,14,
"-22,435","-52,417",27,15,
"-22,435271","-52,416201",54,16,
"-22,331522","-52,397662",46,17,
"-22,409124","-52,382086",26,18,
"-22,529426","-52,380337",61,19,
"-22,296133","-52,380162",61,20,
"-22,53","-52,38",25,21,
"-22,297","-52,38",17,22,
"-22,428447","-52,370436",84,23,
"-22,429","-52,37",36,24,
"-22,562642","-52,357379",22,25,100
"-22,521609","-52,356067",69,26,
"-22,522","-52,356",28,27,
"-22,296","-52,346",24,28,
"-22,294391","-52,345695",45,29,
"-22,475","-52,343",28,30,
"-22,474284","-52,342141",62,31,
"-22,366696","-52,340009",62,32,
"-22,474365","-52,330301",35,33,
"-22,515042","-52,328275",68,34,
"-22,325313","-52,325255",69,35,
"-22,324","-52,324",29,36,
"-22,093594","-52,318196",65,37,
"-22,51377","-52,317916",38,38,
"-22,241909","-52,313808",77,39,
"-22,613412","-52,311715",69,40,
"-22,53214","-52,30341",38,41,
"-22,59622","-52,301726",62,42,
"-22,528379","-52,301247",75,43,
"-22,604311","-52,299449",82,44,
"-22,527","-52,299",28,45,
"-22,548835","-52,291089",34,46,
"-22,51702","-52,277847",64,47,
"-22,52018","-52,274931",23,48,
"-22,151105","-52,26491",64,49,
"-22,361191","-52,26047",50,50,
"-22,598279","-52,240956",28,51,
"-22,597474","-52,205939",43,52,
"-22,482029","-52,187885",59,53,
"-22,524233","-52,062858",45,54,
"-23,406944","-51,365556",84,55,
"-23,40627778","-51,3255",81,56,
