"family","sp","lon","lat","precision","freq"
"Orchidaceae","Acianthera adiri",-49.4103,-25.5931,"Coordinates given in the herbarium record",6
"Orchidaceae","Acianthera adiri",-49.236554,-25.442852,"Forest fragment",6
"Orchidaceae","Acianthera adiri",-49.343008,-25.428106,"Forest fragment",6
"Orchidaceae","Acianthera adiri",-51.4581,-25.3953,"Coordinates given in the herbarium record",6
"Orchidaceae","Acianthera adiri",-49.260727,-25.489984,"Forest fragment",6
"Orchidaceae","Acianthera adiri",-48.988824,-25.718658,"Forest fragment",6
"Orchidaceae","Acianthera alborosea",-48.6678,-27.6453,"Coordinates given in the herbarium record",1
"Orchidaceae","Acianthera antennata",-49.115,-25.2061,"Coordinates given in the herbarium record",1
"Orchidaceae","Acianthera aphthosa",-52.4161,-25.4078,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-46.7644,-22.7011,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-51.99457178,-27.41313978,"Forest fragment",35
"Orchidaceae","Acianthera aphthosa",-52.342903,-24.001511,"Forest fragment",35
"Orchidaceae","Acianthera aphthosa",-50.5803,-23.9108,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-46.883333,-23.183333,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-47.3533722,-24.0306333,"Study site",35
"Orchidaceae","Acianthera aphthosa",-49.697222,-22.403333,"1000",35
"Orchidaceae","Acianthera aphthosa",-48.540556,-22.836667,"Forest fragment",35
"Orchidaceae","Acianthera aphthosa",-52.468611,-27.055833,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-50.017987,-29.626037,"Municipality",35
"Orchidaceae","Acianthera aphthosa",-50.583333,-24.35,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-43.1786,-22.505,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-42.0294,-20.7331,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-48.5931,-24.5856,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-53.404182,-26.74806,"Forest fragment",35
"Orchidaceae","Acianthera aphthosa",-46.7981,-21.9692,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-50.003633,-29.623934,"Study site",35
"Orchidaceae","Acianthera aphthosa",-42.466667,-19.766667,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-54.456762,-25.68109,NA,35
"Orchidaceae","Acianthera aphthosa",-52.4167,-25.4167,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-52.3831,-24.0456,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-40.795833,-19.887222,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-50.709176,-24.13017,"Forest fragment",35
"Orchidaceae","Acianthera aphthosa",-49.66666667,-22.33333333,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-51.244324,-23.445244,"Forest fragment",35
"Orchidaceae","Acianthera aphthosa",-42.4652778,-22.545,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-54.2558,-24.08,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-50.4136,-24.5094,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-49.2167,-27.2667,"Municipality",35
"Orchidaceae","Acianthera aphthosa",-49.3167,-27.2667,"Municipality",35
"Orchidaceae","Acianthera aphthosa",-47.2992,-23.2642,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-46.6828,-22.1158,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-46.7006,-22.6122,"Coordinates given in the herbarium record",35
"Orchidaceae","Acianthera aphthosa",-49.757112,-29.35781,"Study site",35
"Orchidaceae","Acianthera atropurpurea",-44.9853,-21.7222,"Coordinates given in the herbarium record",5
"Orchidaceae","Acianthera atropurpurea",-52.3283,-26.5647,"Coordinates given in the herbarium record",5
"Orchidaceae","Acianthera atropurpurea",-44.9325,-21.9772,"Coordinates given in the herbarium record",5
"Orchidaceae","Acianthera atropurpurea",-45.5914,-22.7394,"Coordinates given in the herbarium record",5
"Orchidaceae","Acianthera atropurpurea",-44.8272,-20.6964,"Coordinates given in the herbarium record",5
"Orchidaceae","Acianthera bidentata",-50.3328,-25.4572,"Coordinates given in the herbarium record",2
"Orchidaceae","Acianthera bidentata",-43.1786,-22.505,"Coordinates given in the herbarium record",2
"Orchidaceae","Acianthera bidentula",-43.2075,-22.9028,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-44.0833333,-22.9833333,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-40.620278,-19.923889,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-49.083333,-27.048333,"Study site",17
"Orchidaceae","Acianthera bidentula",-43.3228,-21.5094,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-46.5614,-21.7878,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-46.7644,-22.7011,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-48.5747,-25.8828,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-49.2064,-25.5347,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-40.553056,-19.9075,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-52.73,-25.83,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-41.386111,-20.655278,"Forest fragment",17
"Orchidaceae","Acianthera bidentula",-41.5331,-20.7636,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-48.8333,-20.45,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-41.471667,-20.906111,"Forest fragment",17
"Orchidaceae","Acianthera bidentula",-41.3664,-21.0642,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera bidentula",-48.8344,-25.4769,"Coordinates given in the herbarium record",17
"Orchidaceae","Acianthera binotii",-43.1786,-22.505,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera binotii",-43.4702778,-22.5580556,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera binotii",-40.6741666,-20.3288889,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera binotii",-41.543056,-20.938611,"Study site",10
"Orchidaceae","Acianthera binotii",-51.2294,-23.9014,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera binotii",-40.5297,-20.1006,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera binotii",-41.5331,-20.7636,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera binotii",-40.624722,-19.910833,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera binotii",-42.066667,-20.616667,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera binotii",-42.9656,-22.4122,"Coordinates given in the herbarium record",10
"Orchidaceae","Acianthera brachiloba",-40.924167,-20.176944,"Coordinates given in the herbarium record",4
"Orchidaceae","Acianthera brachiloba",-49.5283,-25.4586,"Coordinates given in the herbarium record",4
"Orchidaceae","Acianthera brachiloba",-51.8,-26.9,"Coordinates given in the herbarium record",4
"Orchidaceae","Acianthera brachiloba",-45.5914,-22.7394,"Coordinates given in the herbarium record",4
"Orchidaceae","Acianthera bragae",-46.7006,-22.6122,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-48.116667,-22.283333,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-41.543056,-20.938889,"Study site",23
"Orchidaceae","Acianthera bragae",-49.0553,-25.3056,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-47.816667,-22.25,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-48.43,-27.479167,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-46.6361,-23.5475,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-42.8819,-20.7539,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-40.6,-19.936111,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-40.739444,-19.760833,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-48.5747,-25.8828,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-47.3533722,-24.0306333,"Study site",23
"Orchidaceae","Acianthera bragae",-48.475556,-27.576667,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-47.3903,-22.1856,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-50.234167,-24.582222,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-50.0667,-29.2,"Municipality",23
"Orchidaceae","Acianthera bragae",-49.2064,-25.5347,"Coordinates given in the herbarium record",23
"Orchidaceae","Acianthera bragae",-50.017987,-29.626037,"Municipality",23
"Orchidaceae","Acianthera bragae",-49.347156,-25.588749,"Forest fragment",23
"Orchidaceae","Acianthera bragae",-49.2167,-27.2667,"Municipality",23
"Orchidaceae","Acianthera bragae",-49.398961,-26.783025,"Coordinates given in the herbarium record",23
