"id","group","family","genus","specificEpithet","species","endemica","Am","MA","Ca","Pan","Pam","Ce"
1511,"Angiospermas","Cactaceae","Epiphyllum","oxypetalum","Epiphyllum oxypetalum","nao_endemica",0,1,0,0,0,0
1512,"Angiospermas","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","nao_endemica",1,1,1,1,0,1
1545,"Angiospermas","Cactaceae","Hatiora","herminiae","Hatiora herminiae","endemica",0,1,0,0,0,0
1547,"Angiospermas","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","endemica",0,1,1,0,0,1
1550,"Angiospermas","Cactaceae","Hylocereus","undatus","Hylocereus undatus","nao_endemica",0,1,0,0,0,0
1554,"Angiospermas","Cactaceae","Lepismium","cruciforme","Lepismium cruciforme","nao_endemica",0,1,0,0,0,0
1555,"Angiospermas","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum","nao_endemica",0,1,0,0,0,0
1556,"Angiospermas","Cactaceae","Lepismium","lumbricoides","Lepismium lumbricoides","nao_endemica",0,1,0,0,0,0
1557,"Angiospermas","Cactaceae","Lepismium","warmingianum","Lepismium warmingianum","nao_endemica",0,1,0,0,0,0
1682,"Angiospermas","Cactaceae","Rhipsalis","agudoensis","Rhipsalis agudoensis","endemica",0,1,0,0,0,0
1683,"Angiospermas","Cactaceae","Rhipsalis","baccifera","Rhipsalis baccifera","nao_endemica",1,1,0,1,0,1
1687,"Angiospermas","Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","endemica",0,1,0,0,0,0
1688,"Angiospermas","Cactaceae","Rhipsalis","campos-portoana","Rhipsalis campos-portoana","endemica",0,1,0,0,0,0
1691,"Angiospermas","Cactaceae","Rhipsalis","cereuscula","Rhipsalis cereuscula","nao_endemica",0,1,0,1,0,0
1692,"Angiospermas","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","endemica",0,1,0,0,0,0
1694,"Angiospermas","Cactaceae","Rhipsalis","crispata","Rhipsalis crispata","endemica",0,1,0,0,0,0
1696,"Angiospermas","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","endemica",0,1,0,0,0,0
1697,"Angiospermas","Cactaceae","Rhipsalis","ewaldiana","Rhipsalis ewaldiana","endemica",0,1,0,0,0,1
1698,"Angiospermas","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","nao_endemica",0,1,1,0,0,1
